Mod Name;Author;Description;Versions;Is Latest;Latest Commit;Latest Download
Holiday Sweaters;Fantos (Code), Max-Maxou (Graphics);Killers, whores and thieves.. MERRY CHRISTMAS! this mod adds holiday sweaters.;3;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/Inmate_Holiday_Sweaters.zip
Contraband Clothes;Fantos (Code), Max-Maxou (Graphics);Add a variety of clothes and accessories. should fit the game style (PS: Updated for the new sex engine);3;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/Contraband_Clothes.zip
Contraband Clothes 2 (Electric Boogaloo);Fantos (Code), Max-Maxou (Graphics);More simple piece of clothes. (PS: Updated for the sex engine);3;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/Contraband_Clothes_2.zip
Thigh Highs;Fantos (Code), Max-Maxou (Graphics);Keep those legs warm sluts   (adapt to every leg in the base game);3;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/ThighHighs.zip
Dildo!;Sority Arikua;Cheat Item. Adds a 100 cred dildo to the general vendomat for purchase to knock down any pesky dom that need to learn how to sub. ;2;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/Dildo.zip
Horny Bat;Sority Arikua;Adds a new hidden bat to the game for people to find and use. The bat can be used on self or opponent to remove lust and add some pain.;5;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/Horny_Bat_v1_.20.zip
Elf Ears;Fantos (Code), Max-Maxou (Graphics);Elf ear for human and demon species.;3;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/ElfEar.zip
Harrow;Exceeder;This is, for now, an encounter that can occur if the player is in the stocks, with a slightly modified second encounter. Hoping to make more of these in the future!;2;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/HarrowMod.zip
Chet Encounter;Poofy;A prototype with a dom cellmate named Chet involving permanent chastity. The cage is removed after the module's story is complete. Changelog: * more Chet events added * Chet's cage is no longer sold by the announcer * Chet's cage should be no longer placeable by other npcs * Chet events should no longer happen as frequently;3;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/ChetMod0.1.zip
n76-ultrapack;newtown76;Add and replaces characters images, now every static (not procedural) character in the game has its own avatar. Also some errors have been fixed in this package, thx to Failas. Preview without spoilers, I'll add link to the preview with names and descriptions later. Installation: Download mod -> Launch with mods -> Options -> Check if n76 above Rahi in the Imagepack section (if not move it up by the arrow) -> Play [url=https://media.discordapp.net/attachments/1021686418512289792/1109492849667485806/preview.png]Click for Preview[/url];3;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/n76-ultrapack.zip
